OFFENCE_YEAR,DIVISION,TICKET_TYPE,OFFENCE_CATEGORY,AGE_GROUP,HOOD_158,NEIGHBOURHOOD_158,TICKET_COUNT,ObjectId
2019,D41,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,NSA,NSA,4,2227
2021,D55,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,67,Playter Estates-Danforth,59,2228
2022,D13,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,32,Englemount-Lawrence,10,2229
2015,D41,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,119,Wexford/Maryvale,1,2230
2020,D22,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,10,Princess-Rosethorn,9,2231
2015,D13,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,32,Englemount-Lawrence,3,2232
2022,D22,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,19,Long Branch,19,2233
2014,D32,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,32,Englemount-Lawrence,68,2234
2022,D23,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,5,Elms-Old Rexdale,46,2235
2017,D14,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,172,Dovercourt Village,8,2236
2015,D42,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,143,West Rouge,268,2237
2016,D11,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,91,Weston-Pelham Park,20,2238
2016,D52,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,166,St Lawrence-East Bayfront-The Islands,9,2239
2018,D32,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,37,Willowdale West,2,2240
2022,D12,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,30,Brookhaven-Amesbury,254,2241
2022,D55,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,61,Taylor-Massey,1,2242
2017,D43,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,138,Eglinton East,5,2243
2015,D23,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,10,Princess-Rosethorn,3,2244
2018,D41,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,NSA,NSA,6,2245
2020,D55,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,65,Greenwood-Coxwell,24,2246
2018,D13,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,109,Caledonia-Fairbank,2,2247
2022,D11,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,89,Runnymede-Bloor West Village,39,2248
2022,D33,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,47,Don Valley Village,43,2249
2014,D32,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,152,East Willowdale,60,2250
2014,D32,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,27,York University Heights,49,2251
2017,D32,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,153,Avondale,1,2252
2014,D55,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,69,Blake-Jones,36,2253
2017,D33,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,40,St.Andrew-Windfields,4,2254
2018,D41,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,157,Bendale South,59,2255
2020,D23,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,22,Humbermede,8,2256
2018,D14,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,95,Annex,2,2257
2016,D31,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,154,Oakdale-Beverley Heights,81,2258
2016,D31,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,25,Glenfield-Jane Heights,817,2259
2014,D42,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,143,West Rouge,5,2260
2021,D42,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,144,Morningside Heights,354,2261
2015,D53,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,97,Yonge-St.Clair,17,2262
2015,D33,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,NSA,NSA,18,2263
2017,D32,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,49,Bayview Woods-Steeles,236,2264
2019,D41,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,125,Ionview,3,2265
2017,D43,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,135,Morningside,92,2266
2021,D43,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,123,Cliffcrest,51,2267
2016,D32,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,105,Lawrence Park North,35,2268
2017,D11,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,83,Dufferin Grove,31,2269
2020,D52,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,166,St Lawrence-East Bayfront-The Islands,94,2270
2019,D52,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,NSA,NSA,24,2271
2017,D53,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,71,Cabbagetown-South St.James Town,2,2272
2014,D32,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,27,York University Heights,75,2273
2016,D22,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,158,Islington,427,2274
2018,D22,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,159,Etobicoke City Centre,1,2275
2020,D12,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,23,Pelmo Park-Humberlea,15,2276
2015,D14,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,164,Wellington Place,3,2277
2021,D43,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,135,Morningside,5,2278
2020,D12,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,112,Beechborough-Greenbrook,188,2279
2020,D55,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,62,East End-Danforth,1,2280
2021,D53,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,96,Casa Loma,22,2281
2017,D12,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,115,Mount Dennis,221,2282
2018,D33,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,46,Pleasant View,2,2283
2017,D42,Prov Offence Summons Part Iii Form 104                                         ,Distracted Driving,Adult,130,Milliken,2,2284
2016,D23,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,4,Rexdale-Kipling,66,2285
2017,D53,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,41,Bridle Path-Sunnybrook-York Mills,1,2286
2016,D13,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,NSA,NSA,2,2287
2016,D32,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,35,Westminster-Branson,20,2288
2021,D31,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,154,Oakdale-Beverley Heights,1,2289
2021,D55,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,63,The Beaches,5,2290
2016,D41,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,125,Ionview,28,2291
2017,D31,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,154,Oakdale-Beverley Heights,26,2292
2020,D33,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,49,Bayview Woods-Steeles,4,2293
2020,D52,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,165,Harbourfront-CityPlace,4,2294
2015,D32,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,37,Willowdale West,182,2295
2019,D41,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,125,Ionview,13,2296
2014,D51,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,NSA,NSA,5,2297
2021,D23,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,11,Eringate-Centennial-West Deane,2,2298
2019,D42,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,142,Woburn North,1,2299
2019,D55,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,122,Birchcliffe-Cliffside,58,2300
2017,D53,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,55,Thorncliffe Park,149,2301
2016,D32,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Youth,31,Yorkdale-Glen Park,1,2302
2021,D42,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,126,Dorset Park,2,2303
2020,D41,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,121,Oakridge,2,2304
2017,D33,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,147,L'Amoreaux West,1,2305
2015,D33,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Youth,NSA,NSA,3,2306
2020,D14,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,NSA,NSA,133,2307
2016,D14,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,163,Fort York-Liberty Village,15,2308
2016,D23,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,4,Rexdale-Kipling,45,2309
2018,D12,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Youth,30,Brookhaven-Amesbury,4,2310
2019,D32,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,37,Willowdale West,109,2311
2021,D22,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,NSA,NSA,2,2312
2016,D43,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,143,West Rouge,5,2313
2017,D43,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,NSA,NSA,7,2314
2014,D12,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,113,Weston,46,2315
2022,D33,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,147,L'Amoreaux West,15,2316
2022,D32,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,39,Bedford Park-Nortown,1016,2317
2021,D32,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,33,Clanton Park,3,2318
2017,D51,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,72,Regent Park,1,2319
2014,D33,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,120,Clairlea-Birchmount,5,2320
2021,D53,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,97,Yonge-St.Clair,215,2321
2015,D52,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,168,Downtown Yonge East,8,2322
2021,D55,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,59,Danforth East York,8,2323
2022,D22,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,18,New Toronto,13,2324
2019,D43,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,NSA,NSA,18,2325
2014,D55,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,59,Danforth East York,54,2326
2022,D53,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,99,Mount Pleasant East,59,2327
2014,D33,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,41,Bridle Path-Sunnybrook-York Mills,1,2328
2022,D32,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,34,Bathurst Manor,4,2329
2020,D13,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,96,Casa Loma,18,2330
2020,D42,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,118,Tam O'Shanter-Sullivan,12,2331
2021,D14,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,84,Little Portugal,18,2332
2018,D55,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,70,South Riverdale,8,2333
2015,D55,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,62,East End-Danforth,45,2334
2018,D32,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,151,Yonge-Doris,47,2335
2021,D55,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,57,Broadview North,40,2336
2019,D43,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,134,Highland Creek,114,2337
2016,D33,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,116,Steeles,4,2338
2019,D55,Prov Offence Summons Part Iii Form 104                                         ,Distracted Driving,Adult,67,Playter Estates-Danforth,1,2339
2017,D11,Prov Offence Summons Part Iii Form 104                                         ,Distracted Driving,Adult,87,High Park-Swansea,3,2340
2016,D52,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,142,Woburn North,2,2341
2019,D32,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,41,Bridle Path-Sunnybrook-York Mills,14,2342
2016,D13,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,108,Briar Hill-Belgravia,22,2343
2022,D11,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,171,Junction-Wallace Emerson,44,2344
2022,D32,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,40,St.Andrew-Windfields,51,2345
2014,D42,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,116,Steeles,1,2346
2020,D43,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,141,Golfdale-Cedarbrae-Woburn,150,2347
2021,D11,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,88,High Park North,442,2348
2017,D11,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,91,Weston-Pelham Park,1,2349
2018,D11,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,86,Roncesvalles,139,2350
2014,D23,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,10,Princess-Rosethorn,1,2351
2021,D52,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,NSA,NSA,93,2352
2018,D42,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,126,Dorset Park,1,2353
2019,D43,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,11,Eringate-Centennial-West Deane,1,2354
2016,D13,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,109,Caledonia-Fairbank,98,2355
2016,D32,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,34,Bathurst Manor,111,2356
2022,D22,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,12,Markland Wood,2,2357
2018,D14,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Youth,163,Fort York-Liberty Village,2,2358
2014,D51,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,70,South Riverdale,1,2359
2018,D13,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,109,Caledonia-Fairbank,1,2360
2021,D41,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,123,Cliffcrest,13,2361
2015,D55,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,120,Clairlea-Birchmount,2,2362
2014,D33,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,42,Banbury-Don Mills,15,2363
2015,D13,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,96,Casa Loma,35,2364
2017,D42,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,118,Tam O'Shanter-Sullivan,192,2365
2016,D53,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,173,North Toronto,19,2366
2017,D22,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,18,New Toronto,24,2367
2020,D22,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,10,Princess-Rosethorn,1,2368
2016,D13,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Youth,94,Wychwood,1,2369
2020,D43,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,138,Eglinton East,1,2370
2021,D52,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,NSA,NSA,14,2371
2016,D53,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,96,Casa Loma,46,2372
2016,D41,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,123,Cliffcrest,24,2373
2014,D14,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,85,South Parkdale,34,2374
2014,D11,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,114,Lambton Baby Point,1,2375
2019,D22,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,158,Islington,49,2376
2015,D52,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Unknown,78,Kensington-Chinatown,1,2377
2014,D23,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,7,Willowridge-Martingrove-Richview,1,2378
2014,D33,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,49,Bayview Woods-Steeles,208,2379
2014,D43,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,138,Eglinton East,1,2380
2017,D43,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,140,Guildwood,51,2381
2015,D14,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,NSA,NSA,2,2382
2014,D53,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,39,Bedford Park-Nortown,7,2383
2017,D53,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,96,Casa Loma,5,2384
2019,D33,Prov Offence Summons Part Iii Form 104                                         ,Distracted Driving,Adult,NSA,NSA,2,2385
2016,D42,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,143,West Rouge,82,2386
2021,D11,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,83,Dufferin Grove,23,2387
2022,D14,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,NSA,NSA,161,2388
2018,D55,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,54,O'Connor-Parkview,147,2389
2016,D52,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,167,Church-Wellesley,57,2390
2022,D12,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,NSA,NSA,5,2391
2019,D32,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,32,Englemount-Lawrence,1,2392
2019,D51,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Youth,166,St Lawrence-East Bayfront-The Islands,1,2393
2021,D23,Prov Offence Summons Part Iii Form 104                                         ,Distracted Driving,Adult,3,Thistletown-Beaumond Heights,1,2394
2021,D22,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,16,Stonegate-Queensway,2,2395
2020,D12,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Youth,111,Rockcliffe-Smythe,3,2396
2020,D41,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,126,Dorset Park,3,2397
2018,D52,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,78,Kensington-Chinatown,6,2398
2022,D14,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,163,Fort York-Liberty Village,35,2399
2015,D32,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,103,Lawrence Park South,5,2400
2019,D11,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,86,Roncesvalles,33,2401
2021,D14,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,95,Annex,14,2402
2014,D42,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,130,Milliken,2,2403
2018,D31,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Youth,27,York University Heights,1,2404
2019,D14,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,78,Kensington-Chinatown,126,2405
2016,D33,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,42,Banbury-Don Mills,4,2406
2014,D33,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,42,Banbury-Don Mills,1,2407
2018,D55,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,54,O'Connor-Parkview,8,2408
2019,D53,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,100,Yonge-Eglinton,2,2409
2020,D55,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,63,The Beaches,6,2410
2015,D12,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,29,Maple Leaf,11,2411
2017,D32,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,38,Lansing-Westgate,107,2412
2018,D55,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,43,Victoria Village,89,2413
2016,D55,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,NSA,NSA,206,2414
2017,D14,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,84,Little Portugal,91,2415
2015,D13,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,101,Forest Hill South,368,2416
2017,D31,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,NSA,NSA,154,2417
2018,D53,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,167,Church-Wellesley,439,2418
2015,D14,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,83,Dufferin Grove,1,2419
2015,D53,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,97,Yonge-St.Clair,12,2420
2021,D51,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,166,St Lawrence-East Bayfront-The Islands,2,2421
2018,NSA,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,27,York University Heights,1,2422
2015,D55,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,58,Old East York,99,2423
2019,D32,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,39,Bedford Park-Nortown,1,2424
2022,D22,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,16,Stonegate-Queensway,397,2425
2022,D51,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,98,Rosedale-Moore Park,4,2426
2014,D14,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,80,Palmerston-Little Italy,1,2427
2017,D23,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,7,Willowridge-Martingrove-Richview,27,2428
2022,D23,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,1,West Humber-Clairville,5244,2429
2018,D22,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,12,Markland Wood,24,2430
2014,D32,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Youth,31,Yorkdale-Glen Park,5,2431
2021,D42,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,147,L'Amoreaux West,19,2432
2020,D13,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,94,Wychwood,22,2433
2015,D12,Prov Offence Summons Part Iii Form 104                                         ,Distracted Driving,Adult,115,Mount Dennis,1,2434
2021,D23,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,7,Willowridge-Martingrove-Richview,96,2435
2019,D55,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,68,North Riverdale,22,2436
2017,D31,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,21,Humber Summit,165,2437
2021,D33,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,43,Victoria Village,40,2438
2022,D33,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,40,St.Andrew-Windfields,14,2439
2015,D13,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,94,Wychwood,3,2440
2018,D33,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,NSA,NSA,50,2441
2016,D51,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,NSA,NSA,4,2442
2020,D12,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,NSA,NSA,817,2443
2022,D31,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,22,Humbermede,7,2444
2014,D32,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,35,Westminster-Branson,1,2445
2019,D32,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,35,Westminster-Branson,34,2446
2017,D55,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,44,Flemingdon Park,275,2447
2016,D11,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,90,Junction Area,1,2448
2014,D13,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,92,Corso Italia-Davenport,16,2449
2014,D42,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,145,Malvern West,100,2450
2021,D55,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Youth,63,The Beaches,1,2451
2018,D22,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,18,New Toronto,33,2452
2016,D53,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,102,Forest Hill North,1,2453
2018,D23,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,7,Willowridge-Martingrove-Richview,16,2454
2018,D55,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,NSA,NSA,249,2455
2015,D55,Prov Offence Summons Part Iii Form 104                                         ,Distracted Driving,Adult,44,Flemingdon Park,1,2456
2015,D42,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,145,Malvern West,3,2457
2017,D23,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,NSA,NSA,15,2458
2014,D32,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,153,Avondale,148,2459
2014,D32,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,38,Lansing-Westgate,25,2460
2015,D53,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,102,Forest Hill North,2,2461
2014,D13,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,171,Junction-Wallace Emerson,76,2462
2021,D43,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,136,West Hill,5,2463
2019,D22,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,159,Etobicoke City Centre,154,2464
2020,D42,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,143,West Rouge,3,2465
2017,D14,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,81,Trinity-Bellwoods,1,2466
2015,D53,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,100,Yonge-Eglinton,130,2467
2020,D42,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,145,Malvern West,169,2468
2018,D14,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,85,South Parkdale,2,2469
2019,D51,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,71,Cabbagetown-South St.James Town,39,2470
2016,D55,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,70,South Riverdale,87,2471
2020,NSA,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,50,Newtonbrook East,1,2472
2020,D11,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,87,High Park-Swansea,652,2473
2021,D14,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,162,West Queen West,482,2474
